"IBOV","USIM5","CSNA3","SBSP3"
8.0244769701,6.25,7.4815677144,-0.37953502833
-3.5381294303,0.25735294112,-1.4369268539,-1.8149226978
1.3966923785,-9.2403227399,17.796585319,-6.1387494294
-6.8810067934,1.226993865,4.6954314721,-9.6523219063
6.7221381745,18.787878788,14.727272727,8.5579640536
-3.9707665895,1.3513451773,-0.85578446915,-3.9552238806
11.317412413,23.719512195,19.189495193,7.77000777
6.9605705192,7.8117299163,8.9285714286,10.430185051
-10.435034163,-9.7142857143,-9.8612862548,-10.77257889
-8.4777827337,-12.658227848,-14.241745942,-5.2195121951
-6.4280312578,-15.409795952,-7.4727281115,-2.7450823711
-11.025502873,-29.178321678,-27.876106195,-28.571428571
-24.797642357,-30.881263885,-29.54601227,-5.1233396585
-1.7742108654,-16.535714286,-9.8223615463,-6.32
2.6096461264,16.936609362,12.012359984,18.53116994
4.6604527297,8.8235294119,21.310344828,-8.1237798642
-2.8422391858,-10.152460152,-10.886867538,-4.2231075698
7.1812062961,16.078002662,16.216052949,7.3211314475
15.550397067,9.1525423728,17.063953488,20.736434109
12.493391697,22.670807454,21.504503333,0.78268157213
-3.2558226968,5.3417721518,-10.06185567,-5.7467532468
6.4121247449,6.4167267486,10.178817056,8.1639683087
3.1461699991,0.4663095362,1.9975031211,10.50955414
8.9027758108,5.440180587,10.934312525,-1.7291066282
0.045515873717,-1.5200171269,7.2085325486,-1.7595307917
8.9349256641,11.304347826,0.34305317331,-2.7961387282
2.3029652169,-2.2498677344,-3.5565612254,8.7974683545
-4.6465854085,0.42518728478,-1.7857142858,-8.8132635254
1.6849895261,3.4677419355,7.5454545455,-3.1897926634
5.8162789648,19.030024446,20.608622147,5.6953642385
-4.0385954441,-7.8956007879,-9.5037846929,4.573934837
-6.6386293296,-18.196399929,-10.723348231,4.8532055123
-3.3483488247,4.8148148146,-5.734767025,7.1428571428
10.798391728,2.8476408232,11.178707224,-6.2133333334
-3.5103310375,-11.014551333,-8.002735978,-5.0042649986
