"Data","ALPA4","ABEV3","BBDC3","BBDC4","BBAS3","BRKM5","CMIG4","CPLE6","ELET3","ELET6","EMBR3","EGIE3","GGBR4","GOAU4","ITSA4","ITUB4","LIGT3","PETR3","PETR4","SBSP3","CSNA3","VIVT3","TIMS3","USIM5","VALE3","IBOV"
2004-02-01,-1.6985003889,10.93990755,1.1644097725,1.5659209876,8.8629309137,14.75409836,4.5226130653,-4.8034934497,-7.1225071226,-2.266288952,-5.9776536314,-29.65627498,1.7142857143,2.8776978417,6.5113497434,0.72452641252,-22.531120332,6.2352941177,4.7387916718,13.259259259,13.761467889,1.8788039166,-13.666666666,8.0949284786,8.0128205129,-0.43933916068
2004-03-01,5.2631578947,30.846838073,-7.2001186931,-4.6958502558,7.5288683602,-2.5974025973,-2.5961538462,0.36697247706,12.883435583,9.5652173915,6.9416913937,7.9545454546,8.8930677035,15.559221205,-4.1309977403,-3.3802615594,3.0173183361,10.242118094,7.1595920199,-5.8701740269,6.9354838712,8.051948052,35.135135135,18.796992481,-5.3353115727,1.778901402
2004-04-01,0,10.160427807,-13.802598363,-14.151045221,-17.95532646,-22.666666667,-9.3780848964,-10.642858098,-17.391304348,-14.603174603,-18.812989922,-0.47741598655,-7.738095238,-8.5889570552,-14.701321086,-13.789913789,-17.660311958,-13.021101389,-12.631578947,-5.9978954753,-25.060382265,-11.937112768,3.491631012,-26.582278481,-17.176147507,-11.448830277
2004-05-01,1.7701329687,11.067961165,8.1557310159,10.041739376,8.9005235601,-20,-4.3114826221,-3.7422037422,-5.0078136254,-2.7552752232,-1.8620689655,-5.1933701658,5.806451613,6.9798657718,15.087719298,12.509125263,-5.1778572933,-4.7455621302,-3.9089692101,-11.492537313,4.6594982079,2.849002849,-10.14084507,2.2413793104,20.5663418,-0.32131381649
2004-06-01,22,4.8951048951,6.7475090957,8.1410656116,8.1730769232,21.767241379,9.3185591859,8.5313174946,7.6573426573,5.789110958,18.162462371,19.114219114,13.262195121,10.915934755,9.9908301781,9.9950349462,19.86681465,6.4728537705,7.7040958484,12.984822934,4.1415718479,10.803324099,0.62695924771,8.600337268,-7.3897269429,8.2071223906
2004-07-01,-1.6393442623,-4.1666666669,1.6162177311,-0.084271340256,2.3686531664,8.3185840707,20.519480519,9.4527363182,41.474504709,35.146579805,-2.7108433736,-10.958904109,18.328767123,21.405380334,-4.1666666666,-2.0289754369,7.8333333333,0,1.0218600439,4.4925373135,16.129883844,0.5000000001,-4.0498442367,34.00621118,12.646048109,5.6175524873
2004-08-01,18.178785586,3.5652173914,0.12133158452,1.8232880942,8.2521700329,38.562091503,-3.0172413793,-9.0909090909,-7.7134986226,-8.3875632684,-8.1114551083,-2.3076923078,13.230992688,17.091430918,4.7924135712,6.1462270418,5.61566203,5.4842473746,4.9935979514,-0.49278674487,3.0916117299,-1.4925373135,10.389610389,10.404181141,2.5015253203,2.090795129
2004-09-01,14.249999999,2.9330738778,2.7119733875,5.7226101162,3.9175257732,12.264150943,12.830552224,2.3000000001,13.681592039,11.812680873,-5.4119053787,2.137232846,-3.8183694531,-2.4793388429,6.6057551674,6.9635818483,-2.1951219513,14.71238938,14.43902439,-3.8110959592,-2.0948180814,2.2727272728,-2.9411764705,-4.3196544276,14.642857142,1.9383414463
2004-10-01,3.1572366366,12.704918032,19.715805202,14.925290674,12.341269841,10.294117647,9.6345514949,0.19550342131,-1.9693654267,-0.63529411764,-2.3861171367,0.44052863432,-9.4635193133,-6.1016949152,7.8534031414,9.0347587684,-5.5694098088,1.7874875868,2.8731836195,-13.445754365,-5.0900900901,5.5942701118,-6.6666666667,-2.8668171556,-2.9013961958,-0.83028608306
2004-11-01,-10.0167584,-1.3090909091,4.8126507956,2.9714963326,12.504415401,12.761904761,-4.3181818183,22.146341463,-1.7857142859,2.8889415107,2.5925925927,2.5219298244,17.43576353,17.385479412,3.1553398057,2.3595408149,10.915492957,-0.34146341459,-0.58855002671,25.844827586,22.92358804,1.8219677251,22.727272727,27.701603532,9.1803278689,9.0057261843
