"ALPA4","ABEV3","BBDC3","BBDC4","BBAS3","BRKM5","CMIG4","CPLE6","ELET3","ELET6","EMBR3","EGIE3","GGBR4","GOAU4","ITSA4","ITUB4","LIGT3","PETR3","PETR4","SBSP3","CSNA3","VIVT3","TIMS3","USIM5","VALE3","IBOV"
-0.91312931881,14.778325123,19.262876568,20.645509274,14.280765562,-1.0507880911,23.219512195,10.540803108,0,3.2591158439,34.328358209,6.141890198,4.1775584707,5.4230886382,16.391639164,21.713189857,20.269569725,34.473684211,31.46779303,4.7999999999,14.459591041,5.4411702658,13.839662447,25.229357798,28.819157721,15.902648575
4.607721046,14.905563882,13.573878975,13.453139658,14.938825793,4.2920353982,15.281076801,14.422183715,18.06181584,15.625,9.2592592593,5.8868616728,8.9451963198,10.639644117,12.070148111,11.032588673,4.7413793101,12.915851272,13.815261044,-0.22451728773,35.47426627,5.9060780999,10.441193066,7.032967033,12.115384615,9.297099216
-7.5238095238,-2.9903282236,-10.513104202,-8.7775450513,-12.731958762,2.7577428935,-4.0244343709,-12.890312249,-21.761658031,-22.324324324,-0.67796610183,-2.2303140646,-4.9079754601,-6.0390763766,-9.3749132506,-10.20512532,-15.390946502,-5.2686308493,-5.8221594917,-8.0333033303,-4.5525902669,-2.7956989247,-9.2150170648,-9.6509240246,0.57175528873,-3.3185864502
-10.066941297,-7.213765718,-4.6925210911,-6.8825329698,-15.887913594,29.06688687,-12.700729926,-10.263480392,18.319395559,19.772831049,39.135381115,-4.2132216015,11.268817204,9.4517958412,-6.2205466541,-9.2857330917,-10.457198443,-18.953530918,-16.672911203,-9.9584046979,8.1249999999,-2.6548672568,-3.7593984962,23.03030303,7.4701534963,-4.3734137035
5.4680790152,9.0584878744,14.280603447,16.490692326,9.0851100023,26.967370441,8.9464882942,21.713895528,5.7389694541,6.225205981,14.554374488,1.652490887,17.359923478,16.553858298,4.2814968025,9.7369103567,9.3970668115,8.0812641085,8.3633093527,11.956521739,15.302707636,0.72622998523,-1.0156249999,5.2955665025,8.3194452187,5.9967644891
7.8447339847,-2.2890778286,-3.2144147936,-1.9263487989,-2.6600985222,32.275132275,6.2164236377,-3.2393580896,10.249043781,9.3482825589,9.9214846538,-2.7731293331,9.9272005295,10.812826248,-2.3122429195,-1.3145509753,-10.829862228,-0.23278385361,1.3033063216,4.8093354419,29.788918206,0.13351773468,-3.7884767166,32.046544464,11.278962947,1.937792947
19.028441983,20.147255689,10.684829959,11.113098531,14.422760776,-4.6285714286,14.461227738,1.9169329071,19.162815983,17.847485127,12.207792207,-0.30868484882,0.25561917828,1.1114058614,8.135499283,7.5382050605,-6.6780821917,15.367965367,13.759525825,-8.5320243105,-7.4521432589,2.7097575714,-0.164068909,-11.513776696,5.2834342323,6.1583426021
6.1323747092,-4.9025069637,-4.3035143138,-2.7641936823,-3.6020184099,18.93349311,-10.677466863,-7.0532915359,-1.5282846717,-0.71133547508,9.2013888889,-1.6084443328,-10.054678007,-6.6801619434,2.8597785977,0.93141405578,-6.6666666668,13.658536585,9.5273539264,-6.5167390749,-2.0703472842,-4.9773755655,-4.1646720671,-3.8267875126,0.60408750633,0.46422898322
2.5303845388,-2.5190392503,-3.3041925293,-3.6848925474,-1.5561780268,-3.0226700252,-1.5663643858,3.2040472175,-6.7639564512,-6.2861104692,-1.483836778,-3.1162196679,4.0189125295,3.0368763559,0.17937219727,1.7290582507,-4.9803407602,-9.2109607132,-8.5626911315,-3.0617823947,6.2741532167,-0.99961262868,-1.821335646,7.6963350786,-3.9646799117,-3.9438521546
16.537116207,2.764423077,-3.3581867998,-4.4617865991,-2.6644342336,14.268398268,13.149078726,11.764705882,-6.5093167702,-6.855733662,25.981710597,1.5730926534,-6.3857752985,-7.4100349342,3.8283282453,2.5086118829,-4.4827586206,7.419462661,7.0584737741,1.8894529047,-23.354275991,6.115020626,10.070671378,-10.11181332,-9.2681132769,-2.4792614235
